"Name"|"Club"|"Position"|"Marktwert"|"Einsaetze"|"Tore"|"Punkte"|"Punkte pro Spiel"|"Eff."|"Trend"|"MW"|"spiele"|"crap"|"scrape"|"buy"
"Sam"|"Bayer 04 Leverkusen"|"Sturm"|"5.020.000"|"22 (17)"|5|67|"3,94"|"74.925"|""|5020000|22|"Bayer 04 Leverkusen"|"Sam"|0
"Sané"|"Hannover 96"|"Abwehr"|"2.380.000"|"0 (0)"|0|0|"0,00"|"-"|""|2380000|0|"Hannover 96"|"Sané"|0
"Sararer"|"VfB Stuttgart"|"Sturm"|"750.000"|"22 (21)"|1|-15|"-0,71"|"-"|""|750000|22|"VfB Stuttgart"|"Sararer"|0
"Sassi"|"1899 Hoffenheim"|"Mittelfeld"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"1899 Hoffenheim"|"Sassi"|0
"Schahin"|"1. FSV Mainz 05"|"Sturm"|"2.260.000"|"31 (24)"|8|42|"1,75"|"53.810"|""|2260000|31|"1. FSV Mainz 05"|"Schahin"|0
"Scharner"|"Hamburger SV"|"Abwehr"|"260.000"|"4 (1)"|0|-7|"-7,00"|"-"|""|260000|4|"Hamburger SV"|"Scharner"|0
"Scheidhauer"|"VfL Wolfsburg"|"Sturm"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"VfL Wolfsburg"|"Scheidhauer"|0
"Schieber"|"Borussia Dortmund"|"Sturm"|"1.250.000"|"23 (13)"|3|8|"0,62"|"156.250"|""|1250000|23|"Borussia Dortmund"|"Schieber"|0
"Schipplock"|"1899 Hoffenheim"|"Sturm"|"1.590.000"|"16 (11)"|5|33|"3,00"|"48.182"|""|1590000|16|"1899 Hoffenheim"|"Schipplock"|0
"Schlaudraff"|"Hannover 96"|"Sturm"|"1.670.000"|"30 (26)"|2|34|"1,31"|"49.118"|""|1670000|30|"Hannover 96"|"Schlaudraff"|0
"Schmelzer"|"Borussia Dortmund"|"Abwehr"|"4.620.000"|"29 (29)"|0|72|"2,48"|"64.167"|""|4620000|29|"Borussia Dortmund"|"Schmelzer"|0
"Schmid"|"SC Freiburg"|"Mittelfeld"|"5.180.000"|"33 (33)"|11|124|"3,76"|"41.774"|""|5180000|33|"SC Freiburg"|"Schmid"|0
"Schmiedebach"|"Hannover 96"|"Mittelfeld"|"500.000"|"21 (17)"|0|20|"1,18"|"25.000"|""|5e+05|21|"Hannover 96"|"Schmiedebach"|0
"Schmitz"|"SV Werder Bremen"|"Abwehr"|"380.000"|"23 (21)"|0|-3|"-0,14"|"-"|""|380000|23|"SV Werder Bremen"|"Schmitz"|0
"Schorr"|"1899 Hoffenheim"|"Abwehr"|"230.000"|"1 (1)"|0|0|"0,00"|"-"|""|230000|1|"1899 Hoffenheim"|"Schorr"|0
"Schröck"|"Eintracht Frankfurt"|"Mittelfeld"|"410.000"|"10 (8)"|0|-19|"-2,38"|"-"|""|410000|10|"Eintracht Frankfurt"|"Schröck"|0
"Schuster"|"SC Freiburg"|"Mittelfeld"|"3.550.000"|"31 (31)"|1|82|"2,65"|"43.293"|""|3550000|31|"SC Freiburg"|"Schuster"|0
"Schwaab"|"VfB Stuttgart"|"Abwehr"|"1.930.000"|"16 (9)"|0|26|"2,89"|"74.231"|""|1930000|16|"VfB Stuttgart"|"Schwaab"|0
"Schwegler"|"Eintracht Frankfurt"|"Mittelfeld"|"5.760.000"|"27 (26)"|2|96|"3,69"|"60.000"|""|5760000|27|"Eintracht Frankfurt"|"Schwegler"|0
"Schweinsteiger"|"FC Bayern München"|"Mittelfeld"|"11.490.000"|"28 (27)"|7|176|"6,52"|"65.284"|""|11490000|28|"FC Bayern München"|"Schweinsteiger"|0
"Schwolow"|"SC Freiburg"|"Torwart"|"160.000"|"0 (0)"|0|0|"0,00"|"-"|""|160000|0|"SC Freiburg"|"Schwolow"|0
"Selassie"|"SV Werder Bremen"|"Abwehr"|"1.360.000"|"27 (25)"|1|29|"1,16"|"46.897"|""|1360000|27|"SV Werder Bremen"|"Selassie"|0
